First name	Middle initial(s)	Last name	2nd affiliation	3rd affiliation	osf_id	twitter	mattermost	As co-author, I have read and approve submission of this manuscript	participated in event (for example: led or joined a hackathon project)	organized or helped organizing an event	taught at event (for example: traintrack)	attended any general group meetings of this project	attended any core group meetings of this project	led general group meetings	led core group meetings	prepared meeting venue (zoom) (for any meeting)	prepared meeting agenda	managed meeting times (doodle)	took notes in meeting	monitored chat in meeting	prepared or emailed meeting summaries to the group	contributed to paper brainstorm	attended section group meetings	wrote original section content	revised for a section	created figures	created tables, glossary	gathered data	performed master editing	performed internal review	responded to internal review and revised manuscript	participated in the jupyter book creation	prepared / gave presentations at Brainhack global events	preprint dissemination	List the brainhack events you participated at and/or helped organized and/or taught at.	projects	reproducibility	trainings	community / collaboration	better code	Feel free to add any other information regarding your contribution.	ranking	joint_first	Author_ID
Peer		Herholz			69jnf	peerherholz	peerherholz	X	X	X	X	X	X						X	X		X	X		X							X	X		Brainhack Global committee, Brainhack Montreal, Brainhack Marburg, OHBM brainhack 2019/2020, OHBM OSR 2020			X				23		121
Samuel	A.	Nastase			pu5bj	samnastase	snastase	X	X	X	X	X	X							X										X			X	X	Dartmouth Brainhack 2017 (organizer), Brainhack Princeton 2019-2020 (organizer), OHBM Brainhack 2020 (TrainTrack talk)						compiled master internal review	24		44
AmanPreet		Badhwar	Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal / Université de Montréal / Montréal, QC / Canada	Département de pharmacologie et physiologie / Université de Montréal / Montréal, QC / Canada		Aman_Badhwar	aman_badhwar	X	X	X	X	X	X									X	X	X	X					X		X	X	X	OHBM Hackathon 2015, 2016, 2017, 2019, 2020; Brainhack Paris 2016; Brainhack Global Montreal since 2016 onwards	X						25		15
Guillaume		Dumas	Mila / Université de Montréal / Montréal, QC / Canada		8mzbv	introspection	guillaume	X	X	X	X	X	X									X	X	X	X					X			X		Organized the Brainhack Paris 2016		X					26		40
Simon		Schwab						X	X	X	X					X	X	X	X				X	X	X			X							"Co-organizer BrainHack Warwick 2017; taught ""Open science and reproducibility in neuroscience"" at BrainHack Zurich 2019"		X					27		134
Stefano		Moia	/ University of the Basque Country (EHU UPV) / San Sebastián-Donostia / Spain		wu5tk	SteMoia	smoia	X	X	X	X	X	X			X		X	X			X	X	X											+BH Zurich 2017 (part), BH Donostia 2018++2019 (org), 2020 (org, taught); OHBM 2020 (part); BH Ankara 2020 (taught)+					X		28		29
Michael		Dayan				neurorepro	mdayan.research	X	X	X	X	X	X									X	X	X	X		X	X					X		Organizer at Campus Biotech in Geneva (2x2019, 1x2020); Attended Zurich 2018. Taught at OHBM 2020.	X						29		7
Yasmine		Bassil				brainybassil	yasminebassil	X		X						X		X	X												X	X		X	Brainhack ATL 2019							30		92
Paula	P.	Brooks						X	X	X													X		X					X					Brainhack Princeton 2019, Brainhack Princeton 2020	X	X	X	X	X		31		93
Matteo		Mancini	Cardiff University Brain Research Imaging Centre / Cardiff University / Cardiff / UK	NeuroPoly Lab / Polytechnique Montréal / Montréal, QC / Canada		ingmatman	matman	X	X	X		X	X																	X					OHBM Brainhack 2020, Brainhack Micro2Macro						Funding information: MM was funded by the Wellcome Trust through a Sir Henry Wellcome Postdoctoral Fellowship (213722/Z/18/Z).	32		81
James	M.	Shine				jmacshine		X	X	X							X			X					X					X					Brainhack Avoca	X	X	X	X	X		33		128
David		O'Connor						X	X	X	X	X	X						X											X	X		X		Brainhack Global NYC, Brainhack Global New Haven, OHBM 15, OHBM 16, OHBM 19 15,							34		99
Xihe		Xie					xihe	X	X	X	X	X	X										X							X					Brainhack Global 2020 New York (Organize, teach), Brainhack LA 2016, Brainhack SF 2019							35		33
Davide		Poggiali				davidepoggiali	pog87	X	X	X		X	X									X								X					attended BrainHack Zagrab 2018. organized BrainHack Padova 2018-19-20							36		21
Patrick		Friedrich				PatFri3drich	patfriedrich	X	X	X		X	X									X												X	Brainhack Padova 2019							37		71
Lydia		Riedl			svw73	RiedlLydia	lydia.r	X	X	X	X	X	X										X		X								X	X	+Brainhack global Marburg 2019 ++ 2020+				X			38		74
Roberto		Toro	Center for Research and Interdisciplinarity (CRI) / University of Paris / Paris / France			r3rt0	r03ert0	X	X	X	X	X										X		X	X								X		Leipzig, Paris, Rome, Berlin, Padova, Vienna, Geneva, etc.					X		39		120
Anibal	S.	Heinsfeld	Department of Computer Science / University of Texas at Austin / Austin, TX / USA		yp7gc	anibalsolon	anibalsolon	X	X	X	X	X	X																			X			Brainhack BR 2016 Org Team; Brainhack Global Org 2019 & 2020; OHBM Brainhack 2020 Americas Hub; Neuromatch 2.0 Org; Brainweb Org							40		122
César		Caballero-Gaudes				CaballeroGaudes	CesarCaballeroGaudes	X	X	X	X	X																		X					Brainhack Donostia 2018, 2019, 2020							41		16
Anders		Eklund	Department of Computer and Information Science / Linköping University / Linköping / Sweden	Center for Medical Image Science and Visualization (CMIV) / Linköping University / Linköping / Sweden		wandedob		X	X		X	X																		X			X		OHBM 2019, OHBM hackathon 2018; Brainhack Global Stockholm 2017							42		39
Kelly	G.	Garner	School of Psychology / University of Birmingham / Birmingham / UK	School of Psychology / The University of Queensland / St Lucia / Australia		garner_theory	Kels	X		X																				X					Hub manager, APAC for OHBM Brainhack, 2020							43		65
Christopher	R.	Nolan					cnolan	X	X	X																				X					2020 OHBM Brainhack							44		112
Damion	V.	Demeter				iamdamion	iamdamion	X	X	X		X				X	X			X		X													Brainhack global (2019, 2020), Neuromatch Conference, Neuromatch 2.0, OHBM Brainhack 2020							45		27
Fernando	A.	Barrios					fabarrios	X	X	X	X	X	X							X			X												Brainhack Global 2018			X	X			46		117
Junaid	S.	Merchant	Department of Psychology / University of Maryland / College Park, MD / USA		85skm	junaidsmerchant	junaid	X	X	X	X	X	X																						Brainhack DC 2020, Brainhack DC 2019, Brainhack DC/NIH 2018, Brainhack NIH 2017, Neurohackweek 2016							47		87
Elizabeth	A.	McDevitt					brainhack-princeton	X	X	X		X																							Brainhack Princeton 2019, 2020							48		91
Robert		Oostenveld	NatMEG / Karolinska Institutet / Stockholm / Sweden		si4kw	oostenvr	robertoostenveld	X	X			X							X	X		X			X					X	X				Paris 2016, OHBM Brainhack 2020	X	X		X			49		124
R. Cameron		Craddock					cameron.craddock	X	X	X	X	X	X																X		X		X		OMG, like tons!							50		100
Ariel		Rokem				arokem	arokem	X	X	X	X	X							X											X			X		Brainhack Global Seattle;  OHBM Brainhack 101;  NeuroHackademy							51		64
Andrew		Doyle				crocodoyle	crocodoyle	X	X	X		X										X											X	X	Deep Brainhack 2017; participant OHBM hackathon 2017/2018/2019, BHG 2017-2019, Zagreb 2017, Toronto 2020							52		34
Satrajit	S.	Ghosh	Department of Otolaryngology - Head and Neck Surgery / Harvard Medical School / Boston, MA / USA					X	X	X	X											X													many - let me know if you need a list :)							53		126
Aki		Nikolaidis				AkiNikolaidis		X	X	X		X										X			X								X		Taught at Brainhack NYC, and Neurohacking 101 & 201 at GenSpace		X	X	X			54		111
Olivia	W.	Stanley	Department of Medical Biophysics / University of Western Ontario / London, ON / Canada				ostanley	X	X	X	X	X							X																Co-chaired Brainhack Western 2018/2019 and participated in Brainhack Ontario 2020							55		96
Eneko		Uruñuela	/ University of the Basque Country (EHU UPV) / San Sebastián-Donostia / Spain			eurunuela	eurunuela	X	X	X	X	X							X																Brainhack Donostia 2019 and 2020							56		3
Nasim		Anousheh					nasim_anousheh	X	X	X	X																						X		I participated in all Brainhack global events at Indiana University (Bloomington)							1000		25
Aurina		Arnatkeviciute				AurinaArn		X			X																								OHBM Brain Hack 2020, Asia / Pacific Hub, Good coding practices in MatLab							1001		136
Guillaume		Auzias																																								1003		157
Dipankar		Bachar																																								1004		179
Elise		Bannier																																								1006		191
Ruggero		Basanisi																																								1008		159
Arshitha		Basavaraj																																								1009		215
Marco		Bedini																																								1012		201
