First name	Middle initial(s)	Last name	2nd affiliation	3rd affiliation	osf_id	twitter	mattermost	As co-author, I have read and approve submission of this manuscript	participated in event (for example: led or joined a hackathon project)	organized or helped organizing an event	taught at event (for example: traintrack)	attended any general group meetings of this project	attended any core group meetings of this project	led general group meetings	led core group meetings	prepared meeting venue (zoom) (for any meeting)	prepared meeting agenda	managed meeting times (doodle)	took notes in meeting	monitored chat in meeting	prepared or emailed meeting summaries to the group	contributed to paper brainstorm	attended section group meetings	wrote original section content	revised for a section	created figures	created tables, glossary	gathered data	performed master editing	performed internal review	responded to internal review and revised manuscript	participated in the jupyter book creation	prepared / gave presentations at Brainhack global events	preprint dissemination	List the brainhack events you participated at and/or helped organized and/or taught at.	projects	reproducibility	trainings	community / collaboration	better code	Feel free to add any other information regarding your contribution.	ranking	joint_first	Author_ID
Matheus		Marcon						X	X	X	X																						X		Participated in Brainhack Global Porto Alegre 2017; Co-organized and taught on Brainhack Global Porto Alegre 2018-2019.							1122		101
Daniel	S.	Margulies	INCC UMR 8002 / Université de Paris / Paris / France					X	X	X																																1123		154
Giorgio		Marinato																																								1124		189
Daniele		Marinazzo																																								1125		178
Christopher	J.	Markiewicz																																								1126		183
Camille		Maumet				cmaumet	cmaumet	X	X	X		X																							Paris 2013, OHBM 2014, OHBM 2016, Ghent 2017, Global Warwick 2017, Global Rennes 2018, Western France 2019, OHBM 2020							1127		31
Felipe		Meneguzzi				drmeneguzzi	meneguzzi	X	X	X	X																						X		Brainhack Porto Alegre 2015-2019							1129		35
David		Meunier																																								1131		180
Michael	P.	Milham																																								1132		166
Kathryn	L.	Mills	PROMENTA Research Center, Department of Psychology / University of Oslo / Oslo / Norway		vmyxp	drkatemills		X	X	X	X																				X		X		First Brainhack in Leipzig; OHBM Brainhack 2015 & 2019; Eugene site for Brainhack Global 2017-2019							1133		58
Davide		Momi				DaveMomi		X	X	X	X																				X		X		Donostia, Marburg, Padova, Ankara, New York, Ontario							1135		5
Clara	A.	Moreau	/ Université de Montréal / Montréal, QC / Canada			claramoreau9		X	X	X																									Co-organized the OBHM Lausanne Brainhack (2016), co-organized local Montreal brainhacks, helped at Vancouver edition, and Rome							1136		56
Aysha		Motala				Aysha_motala		X	X	X		X	X						X														X		BrainHack UWO 2019, BrainHack Ontario 2020							1137		48
Iska		Moxon-Emre				IskaMoxonEmre		X	X	X																									Was on the organizing committee for BrainHack Ontario, helped organize agenda, social activities, moderated chat during event							1138		132
Thomas	E.	Nichols	WIN-FMRIB / University of Oxford / Oxford / UK		dku4c	ten_photos	nichols	X	X	X																									OHBM BrainHacks 2014 - 2020,  Brainhack Global Warwick 2017							1140		135
Dylan	M.	Nielson																																								1141		211
Gustav		Nilsonne	Department of Psychology / Stockholm University / Stockholm / Sweden		nolrw	GustavNilsonne	gustav_nilsonne	X	X	X	X	X																							Stockholm BrainHack 2018, 2019, 2020							1143		52
Lisa		Novello																																								1146		192
Caroline		O'Brien																																								1147		195
Emily		Olafson																																								1149		185
Lindsay	D.	Oliver				loliver_4	lindsaydoliv	X	X	X																									Toronto Brainhack Global 2018, Toronto Brainhack Global 2019, Ontario Brainhack Global 2020							1150		60
John	A.	Onofrey	Department of Urology / Yale School of Medicine /   /																																							1151		198
Edwina	R.	Orchard				OrchardWinnie		X	X	X						X			X	X											X				Social Co-ordinator for Asia-Pacific Hub of the 2020 OHBM Hackathon							1153		63
Kendra		Oudyk																																								1154		175
Patrick	J.	Park						X	X	X	X	X																							Brainhack Western							1155		107
Mahboobeh		Parsapoor	/ Vector Institute for Artificial Intelligence / Toronto, ON / Canada	/ Women in Artificial Intelligence & Machine Learning (WinAIML) / Montréal, QC / Canada		mahparsa		X	X			X																X			X		X		Toronto brainhack 2019, Ontario brainhack  2020							1156		149
Lorenzo		Pasquini																																								1157		213
Scott		Peltier																																								1158		209
Cyril	R.	Pernet	Neurobiology Research Unit / Copenhagen University Hospital, Rigshospitalet / Copenhagen / Denmark			CyrilRPernet	cpernet	X	X		X	X																		X			X		Warwick, Marseilles, OHBM							1159		127
Rudolph		Pienaar	Radiology / Harvard Medical School / Boston, MA / USA		sthnm	rudolphpienaar		X	X	X	X				X	X	X																		Brainhack Boston 2019						https://fnndsc.childrens.harvard.edu/brainhack2019/	1160		89
Pedro		Pinheiro-Chagas																																								1161		216
Jean-Baptiste		Poline	Helen Wills Neuroscience Institute / University of California, Berkeley / Berkeley, CA / USA			jbpoline	jbpoline	X	X	X	X	X										X			X								X		Not sure how to put this, but I organized and led the whole Berkeley brainhack meeting		X					1163		78
Anqi		Qiu						X			X		X		X																											1164		147
Tiago		Quendera						X	X	X	X	X										X											X	X	Brainhack Portugal 2019							1165		28
Laura	C.	Rice	Neurology / Johns Hopkins University / Baltimore, MD / USA		yuzs8	LC_Neuro	laura.blevins	X	X	X	X	X																						X	Brainhack Global DC, 2019						Co-organizer for DC's 2019 Brainhack - attended, taught traintrack on resting state FC; Will disseminate via Twitter	1167		88
Joscelin		Rocha-Hidalgo																																								1169		214
Saige		Rutherford																																								1171		170
Mathias		Scharinger						X	X	X													X								X		X		Bibliometric Analyses with R	X						1173		75
Dustin		Scheinost																																								1174		164
Deena		Shariq																																								1176		217
Thomas	B.	Shaw			k8u5b	thomcat992		X	X		X	X													X								X		Containers for reproducible neuroscience				X		I gave small comments on the Google doc, but I am not sure if this counts for co-authorship? Happy to be removed if not.	1177		62
Viviana		Siless																																								1179		219
Molly		Simmonite																																								1180		171
Nikoloz		Sirmpilatze					niksirbi	X	X																										Brainhack Comparative MRI London 2019, Brainweb							1181		9
Hayli		Spence																																								1182		187
Julia		Sprenger						X	X	X	X																								Brainhack Munich 2017, Brainhack Marseille 2020							1183		66
Andrija		Stajduhar	Andrija Stampar School of Public Health, School of Medicine / University of Zagreb / Zagreb / Croatia					X	X	X	X																						X		Brainhack Montreal 2017 (project lead), 2018 (project lead), Brainhack Zagreb 2018 (chair), 2019 (chair), 2020 (chair, lecturer)							1184		50
Martin		Szinte																																								1186		181
Sylvain		Takerkart				TakerkartSylva1	sylvain.takerkart	X	X	X	X	X																						X	attended several OHBM BrainHacks; led the organization of BrainHack Marseille 2019 and BrainHack Marseille 2020							1187		68
Angela		Tam				angelatamtweets		X	X	X	X																								OHBM Brainhack 2020, Montreal Brainhack School 2018, Deep Brainhack 2017 (Montreal), OHBM Brainhack 2015, Brainhack EDT 2014							1188		32
Link		Tejavibulya						X	X																										Yale 2019							1189		104
Michel		Thiebaut de Schotten	Groupe d’Imagerie Neurofonctionnelle, Institut des Maladies Neurodégénératives- UMR 5293, CNRS / CEA University of Bordeaux / Bordeaux / France		hr3bg/	michelTDS		X	X	X	X	X																		X	X		X	X	I organized 7 BrainHacks						Wrote a section that did not make the cut in the final manuscript	1190		140
Ina		Thome			v8dfn			X	X	X	X																								Brainhack Marburg 2019 and 2020							1191		53
Laura		Tomaz da Silva						X	X	X	X	X																							Brainhack Porto Alegre/Brazil - PUCRS (years: 2018, 2019)						I helped organizing the events at PUCRS during 2018, 2019 and I also taught at during both events.	1192		36
Nicolas		Traut	Center for Research and Interdisciplinarity / University of Paris / Paris / France			nicolas_traut	ntraut	X	X	X		X																							Brainhacks in Paris 2017;  Brainhack Global Paris 2018;  OHBM Hackathon 2019							1194		114
Lucina	Q.	Uddin				LucinaUddin		X	X	X															X								X		Co-organized local Brainhacks at University of Miami and Florida International University June 2018; March 2017; Oct 2015&2014			X	X			1195		17
Antonino		Vallesi	/ IRCCS San Camillo Hospital / Venice / Italy			AntoninoVallesi	antoniovallesi	X	X	X		X				X	X													X					BrainHack in Padova 2018, 2019, 2020						Participated in various BrainHack events in Padova, Italy, and co-organized BrainHack Diversity in Padova 14-16 Dec 2020	1197		6
John	W.	VanMeter	Center for Functional and Molecular Imaging / Georgetown University Medical Center / Washington D.C. / USA					X	X	X	X	X										X													Brainhack Global 2019; Brainhack EDT 2015							1199		83
Nandita		Vijayakumar																																								1201		188
Matteo		Visconti di Oleggio Castello			htw98	MatteoVdOC	mvdoc	X	X	X	X																								Organizer of Brainhack Dartmouth 2017; Taught at Brainhack Princeton 2019; Partecipated at OHBM Hackatons 2015, 2016, 2018						OSSIG Secretary 2018	1202		18
Jakub		Vohryzek			fd8ks	VohryzekJakub	jakub	X	X	X		X										X													Organized Oxbridge BrainHack 2019 with Lena Dorfschmidt, Participated in OHBM 2019 Brainhack, Zurich							1204		138
Jakša		Vukojević						X	X	X		X				X																			All of the Brainhack Zagreb events							1205		143
Kirstie	Jane	Whitaker			xe9vf	kirstie_j		X	X	X	X																						X		Lead organiser for Brainhack Cambridge, OHBM 2016, 2017, 2018, 2019. I feel like I've spoken at others too but I can't remember							1207		108
Lucy		Whitmore																																								1208		207
Steve		Wideman	CNC / University of Alabama at Birmingham / Birmingham AL / USA					X	X			X							X											X					BrainHack UAB 2018, attempted to bring BrainHack UAB 2020 but no go...							1209		103
Suzanne	T.	Witt				suzwi54	switt4	X	X	X	X																				X				Brainhack Western 2019, Brainhack Ontario 2020							1210		82
Hua		Xie																																								1212		160
Ting		Xu				TingsterX		X	X	X	X																								Vienna 2016, New York, 2015, 2018, 2019, Beijing 2020, OHBM Hackathon 2019-2020							1213		150
Chao-Gan		Yan	International Big-Data Center for Depression Research / Chinese Academy of Sciences / Beijing / China					X	X	X	X	X				X	X																		Brainhack Apac 2020						Hosted Brainhack Apac 2020	1214		130
Fang-Cheng		Yeh																																								1216		184
B.T. Thomas		Yeo																																								1217		174
Xi-Nian		Zuo	National Basic Public Science Data Center / Chinese Academy of Sciences / Beijing / China	School of Education Sciences / Nanning Normal University / Nanning / China				X	X	X	X																						X		BrainHack 2013; BrainHack 2016; BrainHack Global Beijing & Nanning							1218		109
