YYYY-MM-DD,Country,City,Theme/title/topic,lat,lon,Continent
2017-11-08,United States of America,Washington D.C.,SfN Brainhack DC: NaturalisticViewing,38.9071923,-77.0368707,North America
2017-11-18,Poland,Warsaw,AoN Brainhack Warsaw,52.2296756,21.0122287,Europe
2017-12-18,Germany,Leipzig,Brainhack Gradients,51.3396955,12.3730747,Europe
2018-02-19,France,Paris,Brainhack Anatomy,48.856614,2.3522219,Europe
2018-03-22,United States of America,Atlanta,Brainhack Global Atlanta,33.7489954,-84.3879824,North America
2018-04-13,China,Beijing,Brainhack Global Beijing,39.9041999,116.4073963,Asia
2018-04-25,France,Rennes,Brainhack Global Rennes,48.117266,-1.6777926,Europe
2018-04-26,Canada,Montreal,Brainhack Global MTL,45.5016889,-73.567256,North America
2018-05-02,India,Hyderabad,Brainhack Global Hyderabad,17.385044,78.486671,Asia
2018-05-02,Ireland,Dublin,Brainhack Global Dublin,53.3498053,-6.2603097,Europe
2018-05-02,United States of America,Ann Arbor,BRainhack Global Ann Arbor,42.2808256,-83.7430378,North America
2018-05-02,United States of America,Los Angeles,Brainhack Global LA,34.0522342,-118.2436849,North America
2018-05-02,United States of America,New York City,Brainhack Global NYC,40.7127753,-74.0059728,North America
2018-05-02,United Kingdom of Great Britain and Northern Ireland,London,Brainhack Global London,51.5073509,-0.1277583,Europe
2018-05-02,Spain,San Sebastian,Brainhack Global Donostia,43.318334,-1.9812313,Europe
2018-05-02,Switzerland,Zurich,Brainhack Global Zurich,33.0727467,-96.8236665,Europe
2018-05-02,Finland,Espoo,Brainhack Global Espoo,60.2054911,24.6559,Europe
2018-05-02,France,Paris,Brainhack Global Paris,48.856614,2.3522219,Europe
2018-05-02,United States of America,Baltimore,BHG Baltimore: Whole Brain Vol Registration,39.2903848,-76.6121893,North America
2018-05-02,United States of America,Bethesda,Brainhack Global Bethesda,33.9214924,-84.0840795,North America
2018-05-02,United States of America,Bloomington,Brainhack Global Bloomington,39.165325,-86.5263857,North America
2018-05-02,United States of America,Boston, Brainhack Global Boston,42.3600825,-71.0588801,North America
2018-05-02,United States of America,Detroit,Brainhack Global Detroit,42.331427,-83.0457538,North America
2018-05-02,Canada,London,Brainhack Global Western,42.983612,-81.249725,North America
2018-05-03,Germany,Leipzig,Brainhack Global Leipzig,51.3396955,12.3730747,Europe
2018-05-03,Spain,Madrid,Brainhack Global Madrid,40.4167754,-3.7037902,Europe
2018-05-03,Germany,Marburg,Brainhack Global Marburg,50.8021728,8.7667933,Europe
2018-05-03,United States of America,Birmingham,Brainhack Global Birmingham,33.5185892,-86.8103567,North America
2018-05-03,United States of America,New Haven,Brainhack Global New Haven,41.308274,-72.9278835,North America
2018-05-03,United States of America,San Francisco,Brainhack Global San Francisco,37.7749295,-122.4194155,North America
2018-05-03,Canada,Toronto,Brainhack Global Toronto,43.653226,-79.3831843,North America
2018-05-04,Sweden,Stockholm,Brainhack Global Stockholm,59.3293235,18.0685808,Europe
2018-05-04,Germany,Magdeburg,Brainhack Global Magdeburg,52.1205333,11.6276237,Europe
2018-05-04,United States of America,Eugene,Brainhack Global Eugene,44.0520691,-123.0867536,North America
2018-05-05,Croatia,Zagreb,Brainhack Gloabl Zagreb,45.8150108,15.9819189,Europe
2018-05-07,Belgium,Ghent,Brainhack Global Ghent,51.0543422,3.7174243,Europe
2018-06-01,United States of America,Miami,Brainhack Global Miami,25.7616798,-80.1917902,North America
2018-06-09,France,Paris,Brainhack Networks,48.856614,2.3522219,Europe
2018-06-14,Singapore,Singapore,OHBM Hackathon,1.352083,103.819836,Asia
2018-10-24,Switzerland,Zurich,Brainhack Zurich,33.0727467,-96.8236665,Europe
2018-11-18,United States of America,Los Angeles,Brainhack LA,34.0522342,-118.2436849,North America
2018-12-05,Italy,Padova,Brainhack Evolution,45.4064349,11.8767611,Europe
2019-01-16,Netherlands,Leiden,OpenMR Benelux,52.161091,4.49015,Europe
2019-03-22,Switzerland,Geneva,Brainhack Open Geneva,46.2043907,6.1431577,Europe
2019-05-05,Spain,San Sebastian,Brainhack Donostia,43.318334,-1.9812313,Europe
2019-05-21,Canada,Toronto,CAN-ACN BrainHack ,43.653226,-79.3831843,North America
2019-06-06,Italy,Rome,OHBM Hackathon,41.9027835,12.4963655,Europe
2019-09-07,United Kingdom of Great Britain and Northern Ireland,London,Brainhack: Comparative MRI,51.5073509,-0.1277583,Europe
2019-11-03,Switzerland,Zurich,Brainhack Global Zurich,33.0727467,-96.8236665,Europe
2019-11-07,Switzerland,Geneva,Brainhack Global Geneva,46.2043907,6.1431577,Europe
2019-11-11,United States of America,Austin,Brainhack Global Austin,30.267153,-97.7430608,North America
2019-11-12,Italy,Padova,Brainhack Global Brain Asymmetries,45.4064349,11.8767611,Europe
2019-11-13,United States of America,Atlanta,Brainhack Global ATL,33.7489954,-84.3879824,North America
2019-11-13,United States of America,Princeton,Brainhack Global Princeton,40.3430942,-74.6550739,North America
2019-11-13,Germany,Marburg,Brainhack Global Marburg,50.8021728,8.7667933,Europe
2019-11-13,Canada,Toronto,BHG Individuality in Age of Big NeuroData,43.653226,-79.3831843,North America
2019-11-13,Canada,London,Brainhack Western,42.983612,-81.249725,North America
2019-11-13,France,Marseille,Brainhack Global Marseille,43.296482,5.36978,Europe
2019-11-13,United States of America,New York City,Brainhack Global NYC,40.7127753,-74.0059728,North America
2019-11-13,United States of America,Seattle,Brainhack Global Neuropixels,47.6062095,-122.3320708,North America
2019-11-13,Brazil,Porto Alegre,Brainhack Gloabal POA,-30.0346471,-51.2176584,South America
2019-11-13,United States of America,Boston,Brainhack Global Boston,42.3600825,-71.0588801,North America
